日期,代码,名称,当前价,形态类型,偏离度%,成交额(亿)
2025-12-31,603809,豪能股份,14.22,回踩MA5阴线,0.01,6.46
2025-12-31,002414,高德红外,14.63,回踩MA10阴线,0.35,4.49
2025-12-31,601212,白银有色,5.89,回踩MA5阴线,-0.37,14.2
2025-12-31,603300,海南华铁,7.81,回踩MA5阴线,-0.43,5.0
2025-12-31,603305,旭升集团,16.08,回踩MA5阴线,-0.53,9.28
2025-12-31,000592,平潭发展,15.33,回踩MA5阴线,-0.53,48.86
2025-12-31,600755,厦门国贸,7.23,回踩MA10阴线,0.54,7.75
2025-12-31,601969,海南矿业,11.85,回踩MA5阴线,0.63,5.78
2025-12-31,601118,海南橡胶,5.81,回踩MA10阴线,-0.79,3.36
