序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920045,N蘅东光,309.0,878.16,277.41,108262.0,3647555391.98,256.41,388.0,307.0,350.0,31.59,,53.79,70.4,21.03,21034108332.0,6219408315.0,0.33,0.39,878.16,878.16
2,301687,N新广益,71.32,225.22,49.39,238277.0,1741012128.91,140.81,95.88,65.0,65.0,21.93,,80.68,77.55,7.05,10474340480.0,2106459379.0,0.03,-0.06,225.22,225.22
3,920270,天铭科技,25.68,29.96,5.92,173138.0,409248880.3,22.62,25.68,21.21,21.51,19.76,6.82,21.34,57.56,6.58,2686538880.0,2083375181.0,0.0,0.0,32.99,158.61
4,920130,立方控股,28.96,24.94,5.78,150717.0,411866801.4,33.13,30.13,22.45,22.45,23.18,9.84,26.94,-140.88,5.23,2671364115.0,1620478694.0,0.0,0.42,6.28,86.84
5,300058,蓝色光标,11.52,20.0,1.92,10280935.0,11164682247.42,19.17,11.52,9.68,9.76,9.6,2.26,29.54,158.52,5.21,41359348535.0,40089942812.0,0.0,0.0,69.41,73.76
6,301380,挖金客,37.8,20.0,6.3,120637.0,439160429.8,19.68,37.8,31.6,31.6,31.5,14.38,14.94,107.58,5.27,3832633967.0,3051919609.0,0.0,0.0,3.48,11.34
7,301153,中科江南,24.72,20.0,4.12,321091.0,761935039.72,20.24,24.72,20.55,20.61,20.6,8.98,9.75,-101.82,5.19,8722466338.0,8138565798.0,0.0,0.0,8.95,-10.95
8,300516,久之洋,80.7,20.0,13.45,256941.0,1895697797.99,19.61,80.7,67.51,68.01,67.25,1.22,14.27,500.99,11.18,14526000000.0,14526000000.0,0.0,0.0,122.93,139.04
9,301066,万事利,19.69,19.99,3.28,257647.0,478310893.18,19.68,19.69,16.46,16.56,16.41,2.45,13.65,172.71,3.69,4625636056.0,3717209001.0,0.0,0.0,33.04,44.25
10,301232,飞沃科技,168.37,17.91,25.57,127062.0,2013493486.69,19.15,171.36,144.01,147.0,142.8,1.28,28.45,206.36,8.97,12655084364.0,7520627408.0,-0.37,-0.64,331.39,581.66
