序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,yf_code
28,002177,御银股份,9.41,10.06,0.86,3846222.0,3441448156.82,12.28,9.41,8.36,8.4,8.55,4.21,56.99,459.5,4.2,7162810077.0,6350987442.0,0.0,0.0,26.31,109.58,002177.SZ
29,002208,合肥城建,12.38,10.04,1.13,249516.0,308901340.34,0.0,12.38,12.38,12.38,11.25,0.58,3.11,-190.01,1.55,9944753648.0,9942184662.0,0.0,0.0,58.72,74.12,002208.SZ
30,603608,天创时尚,10.3,10.04,0.94,108469.0,111722916.0,0.0,10.3,10.3,10.3,9.36,0.23,2.58,-620.45,4.09,4323074944.0,4323074944.0,0.0,0.0,40.14,176.88,603608.SS
31,603331,百达精工,14.25,10.04,1.3,197430.0,273087746.0,10.66,14.25,12.87,12.98,12.95,2.15,9.77,36.17,2.17,2881002813.0,2881002813.0,0.0,0.0,28.84,59.57,603331.SS
32,002347,泰尔股份,12.38,10.04,1.13,405464.0,496124316.78,4.0,12.38,11.93,11.96,11.25,0.36,8.22,-87.28,5.46,6248214177.0,6108080314.0,0.0,0.0,55.53,84.23,002347.SZ
33,002908,德生科技,10.53,10.03,0.96,409576.0,425606904.16,9.82,10.53,9.59,9.59,9.57,6.98,12.73,771.69,4.11,4542979887.0,3388918675.0,0.0,0.0,2.63,20.9,002908.SZ
35,603967,中创物流,13.73,10.02,1.25,81563.0,109514982.0,8.97,13.73,12.61,12.68,12.48,2.61,2.35,17.28,2.03,4759733928.0,4759733928.0,0.0,0.0,23.36,49.08,603967.SS
36,001299,美能能源,14.71,10.02,1.34,297307.0,431813263.86,6.36,14.71,13.86,14.0,13.37,3.16,13.61,40.39,3.02,3569213894.0,3212677518.0,0.0,0.0,23.72,66.03,001299.SZ
37,600135,乐凯胶片,10.32,10.02,0.94,585102.0,595882022.0,9.81,10.32,9.4,9.4,9.38,1.99,10.57,-49.58,2.39,5710129262.0,5710129262.0,0.0,0.0,42.34,56.6,600135.SS
38,002565,顺灏股份,18.33,10.02,1.67,2113661.0,3831672888.41,6.48,18.33,17.25,17.45,16.66,0.63,19.94,216.46,10.42,19429596940.0,19428772090.0,0.0,0.0,148.37,511.0,002565.SZ
